,word,avg.change,change_12,change_23
13023,one,0.024276271235804114,0.02872350514999622,0.01982903732161201
780,another,0.025509904306095454,0.028527178030505418,0.02249263058168549
8891,hast,0.02748413996872412,0.018451043508426967,0.03651723642902127
20762,well,0.02783712288379897,0.03189717288523408,0.02377707288236386
4733,day,0.028316533100974706,0.03620280123178221,0.0204302649701672
16560,say,0.028696653723786603,0.034074590665181814,0.02331871678239139
12386,much,0.029074240508619675,0.03141188367105985,0.026736597346179503
21089,would,0.029153140267636102,0.029572135537242583,0.02873414499802962
11573,make,0.029292688769534114,0.03140514538763006,0.027180232151438166
12649,never,0.0297535504394274,0.03223993150591753,0.027267169372937272
20695,way,0.029961237291005416,0.03627937656157698,0.02364309802043385
19671,two,0.030055537212905714,0.040326164701041334,0.019784909724770094
11665,many,0.03016295823157028,0.035478211224096334,0.024847705239044227
11178,like,0.030443513487435403,0.03767982459442798,0.023207202380442826
19063,three,0.03044717034611588,0.038488413982444736,0.022405926709787027
19148,time,0.030543048459750588,0.03434541753459108,0.026740679384910093
1887,better,0.030755046671176567,0.03471193281960727,0.026798160522745862
8569,great,0.03129948633858848,0.03620923228412243,0.026389740393054528
8410,go,0.03137079767346068,0.03690494240350106,0.025836652943420302
6816,ever,0.03186179424500535,0.03172827704007619,0.031995311449934505
8437,good,0.03191431992278776,0.03231568513687344,0.03151295470870208
11156,life,0.0320576726036465,0.03394535283513178,0.030169992372161225
12995,old,0.032171369388333815,0.03944699861967782,0.02489574015698981
19042,thought,0.03223941721941781,0.03808323189354479,0.02639560254529083
21059,world,0.032291819135969846,0.03590607224036624,0.028677566031573454
8334,give,0.03240328234435125,0.0349386868849727,0.029867877803729792
10911,last,0.032518948137841175,0.04083289593247719,0.024205000343205163
6807,even,0.03257856836788359,0.03966376944180905,0.025493367293958125
19008,think,0.03260299715044118,0.037406235123411236,0.02779975917747113
11797,may,0.03272795505546994,0.041113775239824735,0.02434213487111514
7551,first,0.032828065992930755,0.03798655435787823,0.027669577627983277
4287,could,0.032958836896293586,0.033892784244508256,0.032024889548078916
1863,best,0.03318486191299319,0.036085273068891754,0.030284450757094628
12454,must,0.033239019062593744,0.0382264863377354,0.02825155178745209
19213,told,0.03336585303911638,0.03426265643933846,0.0324690496388943
21224,yet,0.03340579568569041,0.039170529362800965,0.027641062008579853
10775,knew,0.03341887700412133,0.03582423553371861,0.03101351847452405
3511,come,0.03345512240900278,0.03981944261607828,0.027090802201927278
5841,done,0.03346023519076269,0.03698935534376413,0.029931115037761247
11502,made,0.03347483442178101,0.035522792367900125,0.03142687647566189
7513,find,0.033583570362985704,0.03497374622444249,0.032193394501528916
9837,indeed,0.03363448017941906,0.037271312818092595,0.02999764754074552
10793,know,0.03364099541660015,0.03892820733140023,0.028353783501800067
14224,poor,0.03387944582323926,0.03638624210199548,0.031372649544483044
19041,though,0.03413289268051645,0.0377641375422465,0.030501647818786393
18713,take,0.03414788736456836,0.0395170004580484,0.028778774271088325
12762,nothing,0.034247458156191624,0.04164541807286348,0.026849498239519765
12000,might,0.03438810159703404,0.03692173137717114,0.031854471816896934
11259,little,0.034604108041018544,0.04159829212671229,0.0276099239553248
20994,without,0.03476937601273156,0.042341555087309635,0.02719719693815348
21214,years,0.03491016963839433,0.04777844721015334,0.022041892066635316
16812,seen,0.03499391912662603,0.043281429019917717,0.02670640923333434
11605,man,0.03541267983038737,0.03963289600181685,0.031192463658957892
2713,care,0.03546919534230797,0.035573105385153236,0.0353652852994627
12683,night,0.03556945086003388,0.044773695529105484,0.026365206190962276
13451,part,0.03564411471134277,0.042084143539916075,0.02920408588276946
1777,believe,0.035780697677242346,0.039231825967964484,0.03232956938652021
16799,see,0.03581790931094542,0.042450805341049946,0.029185013280840888
20866,whole,0.03595282773276659,0.04188004682985569,0.030025608635677492
11263,live,0.03629116339923433,0.03576969816686859,0.036812628631600064
12664,next,0.03648650566818973,0.040584097867342295,0.03238891346903716
17597,something,0.03667169031897044,0.045895938616828724,0.027447442021112156
16982,shall,0.03675128531236077,0.04311549915478219,0.030387071469939353
8293,get,0.03694351343958163,0.040222702512391795,0.03366432436677147
4748,deal,0.03705194659022881,0.029196062657282917,0.04490783052317471
14016,place,0.0371958456549048,0.04242106652525124,0.031970624784558366
11340,long,0.037396308839770076,0.045303546344105494,0.029489071335434658
19117,thy,0.03758875319257843,0.032760773483169636,0.04241673290198722
18827,tell,0.037631238545171086,0.04202468928935077,0.0332377878009914
6548,enough,0.03766607479906581,0.04769003441353736,0.02764211518459425
13793,person,0.03823753664125529,0.03983787687306306,0.036637196409447514
14322,pounds,0.03828445530367325,0.034167427735937395,0.0424014828714091
13735,perhaps,0.038387395481546294,0.04305949490652161,0.033715296056570976
8783,hand,0.03844544508101011,0.04493654531225422,0.031954344849766
20970,wish,0.03864550559138907,0.03249653718509593,0.044794473997682216
18045,still,0.038699855695190466,0.04526092864790743,0.032138782742473504
11008,least,0.03871283120359692,0.04305950722828733,0.03436615517890651
6822,every,0.03875608037168893,0.0353182438448586,0.04219391689851926
7908,found,0.03889620930140225,0.046004081982559675,0.03178833662024483
7919,four,0.0389011389766839,0.04573076063181969,0.032071517321548115
15307,reason,0.03892818387842556,0.039792948404359985,0.038063419352491135
9358,however,0.039010969659087236,0.04150454519465485,0.03651739412351962
20097,upon,0.03901477792348179,0.04188803518104578,0.0361415206659178
10730,kind,0.03919405340252857,0.04229604195278058,0.03609206485227656
2596,call,0.03970711202022664,0.04152414807608462,0.037890075964368664
20895,wife,0.039755209875929676,0.045229185476015954,0.0342812342758434
17707,speak,0.03989756380680598,0.04447903855048385,0.03531608906312811
20815,whether,0.03991379582997595,0.04412144303885124,0.035706148621100664
20124,use,0.039929021440493595,0.04662476294004814,0.03323327994093905
11025,left,0.040160741431667535,0.04280544959500476,0.03751603326833031
11079,less,0.0402304519112075,0.043341216356479695,0.0371196874659353
16925,set,0.040401722152892894,0.04687285570993793,0.033930588595847855
15244,rather,0.040556351390727274,0.04645875542320865,0.034653947358245896
11088,let,0.04082057159952529,0.05463431647921935,0.027006826719831234
21043,word,0.041070845989265026,0.05117952761611322,0.030962164362416833
12536,nature,0.04107815457755487,0.040081699408379245,0.042074609746730496
600,almost,0.04108113277950798,0.04625748720776046,0.035904778351255495
18714,taken,0.04112991416557815,0.05141440529628338,0.03084542303487292
19151,times,0.04136637776957469,0.046010412029088066,0.03672234351006132
4736,days,0.04160952540286089,0.04951373263977221,0.03370531816594957
7271,far,0.04170708271692475,0.04845884869478734,0.03495531673906216
8972,heart,0.041872781025180494,0.04553268939752142,0.03821287265283957
2597,called,0.042032460379953396,0.04472543297904252,0.03933948778086427
20121,us,0.04207639046176603,0.05913022711731086,0.025022553806221204
8017,friend,0.04208399090585724,0.044516620955530994,0.03965136085618348
630,always,0.04209060521725061,0.04663230656898054,0.03754890386552068
9035,help,0.04212162066577768,0.045821089234539314,0.03842215209701605
7311,father,0.042160454856737695,0.046799542723330645,0.037521366990144744
2520,business,0.04230517659603211,0.0417394000821909,0.04287095310987332
10697,keep,0.042341210144951624,0.04575490478706612,0.03892751550283713
19007,things,0.042529275753193096,0.04856377768551656,0.03649477382086963
18515,sure,0.042535172539864885,0.04136741437178226,0.04370293070794751
17190,side,0.04257790983697729,0.052987365611201986,0.032168454062752594
21049,work,0.042639473476617895,0.05542276600946161,0.02985618094377418
9340,house,0.04266835392051155,0.04366409075705213,0.041672617083970964
37,able,0.04268376221320458,0.043986839054318105,0.04138068537209105
19143,till,0.04271852817618127,0.04362791101725072,0.04180914533511182
9279,hope,0.04291576123370544,0.0468916287443335,0.03893989372307738
13102,order,0.043032583480232256,0.05185565729260344,0.03420950966786107
19113,thus,0.043162329900492125,0.050010764696220567,0.03631389510476368
11397,love,0.04321531565770198,0.04464853447960038,0.041782096835803584
6448,end,0.04324336519603361,0.04464238296288259,0.041844347429184636
10801,known,0.04328627249092798,0.047424921679651844,0.039147623302204115
19202,together,0.043445866069946215,0.04826925315321007,0.03862247898668236
9406,hundred,0.04352369470430939,0.04944928640584434,0.03759810300277444
8964,heard,0.04360487149475706,0.05239085373055119,0.034818889258962926
11011,leave,0.043723194009876176,0.04297590100661752,0.04447048701313483
19555,true,0.0439045086713612,0.05026974275976215,0.03753927458296025
16985,shalt,0.04391181606997968,0.037462877026285035,0.05036075511367433
13154,others,0.043912998778817325,0.047562266558555444,0.040263730999079206
11782,matter,0.043915889441095646,0.050306185960619754,0.03752559292157154
1436,back,0.04418827178116519,0.05452623349931918,0.0338503100630112
15901,rest,0.04424591807765166,0.048108948486175196,0.04038288766912812
8751,half,0.04426582534635465,0.04871410438986823,0.03981754630284107
11350,look,0.04441313146187903,0.0441972811603375,0.04462898176342056
17610,soon,0.04444075017379173,0.04651183223319211,0.04236966811439136
2902,certain,0.044457994947062984,0.05107378864299683,0.03784220125112914
1401,away,0.044572786340006776,0.05381427084144941,0.035331301838564144
8432,going,0.044765019165591,0.050585658459696536,0.03894437987148547
14999,put,0.04480866541017314,0.054668848079237886,0.0349484827411084
20924,wilt,0.0448140346312183,0.04402635136958022,0.045601717892856386
4314,country,0.044839559912800364,0.04833455228038808,0.04134456754521265
19621,turn,0.04486759521923689,0.05031184045672543,0.039423349981748346
12985,often,0.04494136094950407,0.04695907309263758,0.04292364880637056
17102,short,0.04506770530684984,0.049235936388311474,0.0408994742253882
11820,means,0.045334194978164544,0.04217981853701125,0.04848857141931784
462,ago,0.04537690572178288,0.06911000078888996,0.0216438106546758
671,among,0.04543975248407334,0.05331846939144469,0.037561035576701984
12300,morning,0.045662126888435406,0.05679607015432209,0.034528183622548725
11639,manner,0.045674669044402705,0.049638349975100304,0.041710988113705105
8963,hear,0.045816436595653875,0.03927827777511694,0.05235459541619081
8335,given,0.04581851546418614,0.055192682133133664,0.03644434879523861
